TM, 0, tx_prepare, 0
TM, 1, tx_prepare, 0
TM, 2, tx_prepare, 0
0, TM, abort, 0
1, TM, commit, 0
2, TM, abort, 0
TM, 0, tx_abort, 0
TM, 1, tx_abort, 0
TM, 2, tx_abort, 0
TM, 0, tx_prepare, 1
TM, 1, tx_prepare, 1
TM, 2, tx_prepare, 1
0, TM, commit, 1
1, TM, abort, 1
2, TM, commit, 1
TM, 0, tx_abort, 1
TM, 1, tx_abort, 1
TM, 2, tx_abort, 1
TM, 0, tx_prepare, 2
TM, 1, tx_prepare, 2
TM, 2, tx_prepare, 2
0, TM, abort, 2
1, TM, abort, 2
2, TM, abort, 2
TM, 0, tx_abort, 2
TM, 1, tx_abort, 2
TM, 2, tx_abort, 2
TM, 0, tx_prepare, 3
TM, 1, tx_prepare, 3
TM, 2, tx_prepare, 3
0, TM, abort, 3
1, TM, commit, 3
2, TM, commit, 3
TM, 0, tx_abort, 3
TM, 1, tx_abort, 3
TM, 2, tx_abort, 3
TM, 0, tx_prepare, 4
TM, 1, tx_prepare, 4
TM, 2, tx_prepare, 4
0, TM, commit, 4
1, TM, abort, 4
2, TM, abort, 4
TM, 0, tx_abort, 4
TM, 1, tx_abort, 4
TM, 2, tx_abort, 4
TM, 0, tx_prepare, 5
TM, 1, tx_prepare, 5
TM, 2, tx_prepare, 5
0, TM, abort, 5
1, TM, commit, 5
2, TM, commit, 5
TM, 0, tx_abort, 5
TM, 1, tx_abort, 5
TM, 2, tx_abort, 5
TM, 0, tx_prepare, 6
TM, 1, tx_prepare, 6
TM, 2, tx_prepare, 6
0, TM, commit, 6
1, TM, commit, 6
2, TM, abort, 6
TM, 0, tx_abort, 6
TM, 1, tx_abort, 6
TM, 2, tx_abort, 6
TM, 0, tx_prepare, 7
TM, 1, tx_prepare, 7
TM, 2, tx_prepare, 7
0, TM, commit, 7
1, TM, abort, 7
2, TM, commit, 7
TM, 0, tx_abort, 7
TM, 1, tx_abort, 7
TM, 2, tx_abort, 7
TM, 0, tx_prepare, 8
TM, 1, tx_prepare, 8
TM, 2, tx_prepare, 8
0, TM, abort, 8
1, TM, abort, 8
2, TM, abort, 8
TM, 0, tx_abort, 8
TM, 1, tx_abort, 8
TM, 2, tx_abort, 8
TM, 0, tx_prepare, 9
TM, 1, tx_prepare, 9
TM, 2, tx_prepare, 9
0, TM, abort, 9
1, TM, commit, 9
2, TM, abort, 9
TM, 0, tx_abort, 9
TM, 1, tx_abort, 9
TM, 2, tx_abort, 9
TM, 0, tx_prepare, 10
TM, 1, tx_prepare, 10
TM, 2, tx_prepare, 10
0, TM, abort, 10
1, TM, abort, 10
2, TM, abort, 10
TM, 0, tx_abort, 10
TM, 1, tx_abort, 10
TM, 2, tx_abort, 10
TM, 0, tx_prepare, 11
TM, 1, tx_prepare, 11
TM, 2, tx_prepare, 11
0, TM, abort, 11
1, TM, commit, 11
2, TM, commit, 11
TM, 0, tx_abort, 11
TM, 1, tx_abort, 11
TM, 2, tx_abort, 11
TM, 0, tx_prepare, 12
TM, 1, tx_prepare, 12
TM, 2, tx_prepare, 12
0, TM, commit, 12
1, TM, abort, 12
2, TM, commit, 12
TM, 0, tx_abort, 12
TM, 1, tx_abort, 12
