0, 122.88.9.104, Access-Request
64, 122.88.9.104, Access-Accept
0, 102.24.169.15, Access-Request
128, 102.24.169.15, Access-Accept
0, 37.161.90.108, Access-Request
64, 37.161.90.108, Access-Reject
0, 91.83.112.9, Access-Request
96, 91.83.112.9, Access-Reject
0, 237.79.201.32, Access-Request
2048, 237.79.201.32, Access-Challenge
2144, 237.79.201.32, Access-Request
2208, 237.79.201.32, Access-Reject
0, 212.5.97.41, Access-Request
3072, 212.5.97.41, Access-Challenge
3184, 212.5.97.41, Access-Request
3312, 212.5.97.41, Access-Reject
0, 187.154.73.224, Access-Request
64, 187.154.73.224, Access-Challenge
192, 187.154.73.224, Access-Request
320, 187.154.73.224, Access-Accept
0, 46.8.192.199, Access-Request
128, 46.8.192.199, Access-Challenge
256, 46.8.192.199, Access-Request
352, 46.8.192.199, Access-Accept
